,Student number,Age 18-25,Age 25-35,Age 35-45,Over 45 age,1-2 Hours,2-3 Hours,4-5 Hours,Marks achieved,Time taken
0,VUJ-228-ML,22.0,0.0,0.0,0.0,1.9,0.0,0.0,43.85,80
1,BIV-964-XA,0.0,0.0,36.0,0.0,1.58,0.0,0.0,26.92,136
2,KRS-139-VW,25.0,0.0,0.0,0.0,0.0,0.0,4.75,78.46,129
3,RXC-104-WI,0.0,29.0,0.0,0.0,0.0,0.0,4.65,91.54,112
4,PWV-390-BU,0.0,0.0,36.0,0.0,0.0,0.0,4.75,8.46,35
5,FLH-177-RV,0.0,0.0,0.0,47.0,0.0,0.0,4.13,63.08,120
6,VJS-497-GG,0.0,24.0,0.0,0.0,1.62,0.0,0.0,70.0,91
7,VYS-897-FR,21.0,0.0,0.0,0.0,0.0,2.55,0.0,98.46,168
8,ABW-204-VT,0.0,0.0,46.0,0.0,0.0,2.62,0.0,76.15,116
9,WNQ-977-MG,0.0,0.0,0.0,53.0,0.0,0.0,4.73,40.77,36
10,AHQ-542-PC,0.0,0.0,0.0,52.0,1.1,0.0,0.0,93.08,176
11,HIU-630-IC,0.0,0.0,0.0,58.0,0.0,0.0,4.33,64.62,25
12,MOE-842-BP,21.0,0.0,0.0,0.0,0.0,2.82,0.0,52.31,67
13,HIU-905-KS,0.0,0.0,0.0,45.0,0.0,2.78,0.0,4.62,103
14,RYW-251-YB,0.0,0.0,43.0,0.0,0.0,2.1,0.0,36.15,35
15,VOZ-681-QU,0.0,27.0,0.0,0.0,0.0,2.77,0.0,97.69,114
16,LHR-285-LF,0.0,0.0,0.0,51.0,0.0,0.0,4.92,76.92,30
17,IUV-190-EG,0.0,0.0,0.0,52.0,1.63,0.0,0.0,60.0,29
18,IJR-772-OI,0.0,0.0,0.0,47.0,0.0,0.0,4.78,17.69,33
19,XNW-406-AU,0.0,0.0,0.0,59.0,0.0,2.25,0.0,90.0,146
20,TOJ-294-YR,25.0,0.0,0.0,0.0,1.47,0.0,0.0,65.38,17
21,HIE-113-NB,19.0,0.0,0.0,0.0,1.58,0.0,0.0,36.92,84
22,HZP-478-RW,0.0,27.0,0.0,0.0,1.15,0.0,0.0,37.69,2
23,AWE-362-AU,0.0,29.0,0.0,0.0,1.05,0.0,0.0,53.08,69
24,KKW-956-MR,0.0,0.0,0.0,57.0,1.75,0.0,0.0,73.08,101
25,AMD-152-BH,0.0,26.0,0.0,0.0,0.0,2.85,0.0,72.31,140
26,MNV-174-MB,22.0,0.0,0.0,0.0,0.0,2.23,0.0,0.0,44
27,HCO-201-CY,0.0,31.0,0.0,0.0,0.0,2.0,0.0,86.92,117
28,NCT-446-PC,0.0,0.0,36.0,0.0,1.17,0.0,0.0,27.69,66
29,BGN-416-RC,0.0,0.0,37.0,0.0,1.1,0.0,0.0,36.92,111
30,SIA-127-DP,0.0,0.0,0.0,48.0,1.72,0.0,0.0,71.54,91
